Title;Year;Genre;Award Amount;Box Office;Budget;Time (mins);Reviews;Number of Reviews
Asterix kontra Cezar;1985; Animacja ;0;-;-;79;[0.2, 0.2, 0.5, 1.0, 4.0, 14.0, 36.0, 30.0, 8.0, 5.0];26523
Jak poślubić milionera;1953; Komedia rom. ;0;-;-;95;[0.3, 0.1, 0.6, 1.0, 5.0, 15.0, 35.0, 30.0, 8.0, 5.0];11074
Wilcze echa;2019; Dramat ;4;-;-;115;[0.4, 0.4, 2.0, 3.0, 9.0, 20.0, 33.0, 23.0, 6.0, 3.0];12393
Klątwa Ju-on;2002; Horror ;0;3004709;3500000;92;[1.0, 1.0, 3.0, 4.0, 9.0, 18.0, 29.0, 21.0, 8.0, 5.0];18000
Nieznajoma;2006; Dramat ;16;6850853;-;118;[0.3, 0.3, 0.9, 2.0, 5.0, 13.0, 32.0, 32.0, 10.0, 4.0];8930
Ghost in the Shell 2: Niewinność;2004; Sci-Fi ;0;10079829;-;100;[1.0, 0.3, 0.9, 2.0, 4.0, 10.0, 24.0, 30.0, 18.0, 10.0];14545
Downton Abbey;2019; Dramat ;0;193820755;13000000;122;[0.2, 0.3, 2.0, 3.0, 9.0, 22.0, 33.0, 20.0, 6.0, 4.0];11669
Czy mi kiedyś wybaczysz?;2018; Biograficzny ;48;8803865;10000000;107;[0.1, 0.2, 0.9, 2.0, 9.0, 29.0, 40.0, 12.0, 2.0, 5.0];9498
Jack Frost;1998; Familijny ;0;68760009;85000000;101;[0.5, 0.8, 3.0, 7.0, 16.0, 32.0, 27.0, 10.0, 3.0, 2.0];25536
Dumbo;1941; Animacja ;5;1600000;950000;61;[0.4, 0.4, 1.0, 3.0, 6.0, 16.0, 32.0, 25.0, 8.0, 7.0];21198
Smakosz 2;2003; Horror ;0;63102666;17000000;104;[2.0, 3.0, 7.0, 11.0, 20.0, 25.0, 18.0, 8.0, 2.0, 3.0];25476
Mroczne nieba;2013; Thriller ;0;27858103;3500000;97;[0.4, 0.7, 3.0, 5.0, 12.0, 26.0, 32.0, 16.0, 4.0, 2.0];5305
Pogarda;1963; Dramat obyczajowy ;0;1078408;900000;102;[0.6, 0.5, 2.0, 2.0, 7.0, 14.0, 28.0, 29.0, 11.0, 5.0];5448
Wstrząsy;1990; Horror ;0;48572000;11000000;96;[0.8, 0.9, 3.0, 5.0, 10.0, 23.0, 31.0, 18.0, 5.0, 4.0];20650
Nie patrz w dół;2022; Thriller ;0;17363261;3000000;107;[0.8, 1.0, 4.0, 7.0, 18.0, 33.0, 23.0, 9.0, 2.0, 2.0];15515
Boscy;2021; Dramat ;0;4732405;-;114;[0.3, 0.6, 2.0, 2.0, 8.0, 18.0, 34.0, 26.0, 6.0, 2.0];11568
Wściekłe pięści Węża;2006; Komedia ;0;-;-;59;[4.0, 2.0, 3.0, 4.0, 6.0, 13.0, 24.0, 21.0, 11.0, 13.0];19754
Głębokie błękitne morze;2011; Melodramat ;0;3143514;-;98;[0.8, 2.0, 6.0, 9.0, 20.0, 25.0, 22.0, 11.0, 3.0, 2.0];6125
Mała księżniczka;1995; Dramat ;0;10015449;17000000;93;[0.2, 0.2, 0.7, 1.0, 4.0, 14.0, 32.0, 31.0, 11.0, 6.0];18394
Człowiek z Cold Rock;2012; Thriller ;0;5212903;18200000;106;[0.7, 1.0, 4.0, 6.0, 15.0, 27.0, 28.0, 14.0, 3.0, 1.0];17490
Niedokończone życie;2005; Dramat obyczajowy ;0;18618284;30000000;107;[0.4, 0.3, 0.9, 2.0, 9.0, 23.0, 38.0, 19.0, 4.0, 3.0];13215
Pinokio;1940; Animacja ;5;84254167;2600000;88;[0.4, 0.4, 1.0, 2.0, 7.0, 18.0, 37.0, 23.0, 6.0, 4.0];22209
Reggae na lodzie;1993; Familijny ;0;154856263;14000000;98;[0.3, 0.3, 1.0, 3.0, 8.0, 22.0, 37.0, 19.0, 5.0, 4.0];24189
Cena honoru;2002; Dramat ;0;29882645;35000000;131;[0.5, 0.3, 0.9, 2.0, 6.0, 15.0, 33.0, 29.0, 8.0, 5.0];6817
Dwa miliony dolarów napiwku;1994; Dramat ;0;37939757;-;101;[0.2, 0.4, 2.0, 4.0, 12.0, 31.0, 34.0, 12.0, 2.0, 2.0];21258
Godzina wilka;1968; Dramat ;0;-;-;90;[1.0, 0.5, 1.0, 2.0, 5.0, 10.0, 24.0, 31.0, 16.0, 9.0];5290
Gra dla dwojga;2009; Romans ;0;78146652;60000000;125;[0.9, 1.0, 5.0, 9.0, 22.0, 30.0, 22.0, 8.0, 2.0, 1.0];16753
Czekając na cud;2004; Dramat obyczajowy ;0;-;-;96;[0.4, 0.6, 2.0, 5.0, 13.0, 27.0, 31.0, 15.0, 4.0, 3.0];10872
Teoremat;1968; Dramat ;0;-;-;98;[5.0, 1.0, 2.0, 4.0, 7.0, 11.0, 21.0, 24.0, 15.0, 9.0];3674
Domino;2005; Sensacyjny ;0;22944502;50000000;127;[1.0, 1.0, 4.0, 5.0, 12.0, 21.0, 29.0, 17.0, 6.0, 4.0];14099
Lato 84;2018; Thriller ;0;-;-;105;[0.3, 0.3, 2.0, 3.0, 9.0, 24.0, 37.0, 19.0, 4.0, 1.0];15181
Uwolnienie;1972; Dramat ;0;46122355;2000000;109;[0.7, 0.6, 1.0, 2.0, 6.0, 15.0, 34.0, 28.0, 9.0, 4.0];9915
Ned Kelly;2003; Biograficzny ;10;6585516;-;109;[0.5, 0.3, 1.0, 2.0, 8.0, 20.0, 38.0, 21.0, 5.0, 3.0];7772
Co za życie;2002; Dramat ;0;16872671;40000000;103;[0.4, 0.7, 3.0, 7.0, 18.0, 30.0, 25.0, 9.0, 2.0, 3.0];16631
Broad Peak;2022; Biograficzny ;0;-;-;102;[1.0, 0.9, 5.0, 10.0, 27.0, 32.0, 17.0, 5.0, 1.0, 0.7];18907
Złoty środek;2009; Komedia ;0;-;-;104;[7.0, 8.0, 16.0, 18.0, 20.0, 15.0, 9.0, 4.0, 1.0, 2.0];25094
Saint Laurent;2014; Biograficzny ;0;-;-;150;[1.0, 2.0, 7.0, 10.0, 24.0, 26.0, 18.0, 8.0, 2.0, 1.0];4395
Lato 1993;2017; Dramat ;13;3085754;-;96;[0.3, 0.4, 2.0, 2.0, 7.0, 16.0, 36.0, 28.0, 7.0, 2.0];5576
Świąteczna gorączka;1996; Familijny ;0;129832389;60000000;89;[0.8, 2.0, 5.0, 10.0, 22.0, 30.0, 19.0, 7.0, 2.0, 2.0];25762
Uniewinniony;2014; Kryminał ;0;-;-;91;[0.2, 0.5, 2.0, 4.0, 15.0, 32.0, 31.0, 12.0, 3.0, 1.0];17160
Specjalista;1994; Sensacyjny ;6;170362582;45000000;110;[0.4, 0.6, 3.0, 5.0, 14.0, 30.0, 31.0, 12.0, 3.0, 2.0];23435
Nożownik;2003; Sensacyjny ;0;45496534;55000000;94;[0.5, 0.9, 3.0, 5.0, 14.0, 29.0, 30.0, 13.0, 3.0, 2.0];21648
Słodko gorzki;1996; Dramat obyczajowy ;0;-;-;90;[1.0, 2.0, 6.0, 9.0, 17.0, 25.0, 24.0, 11.0, 3.0, 2.0];16118
Diabeł;1972; Horror ;0;-;-;119;[1.0, 2.0, 3.0, 3.0, 7.0, 13.0, 23.0, 28.0, 13.0, 5.0];5704
Kolonia;2013; Thriller ;0;-;-;93;[1.0, 2.0, 10.0, 15.0, 27.0, 25.0, 13.0, 4.0, 0.9, 0.9];3809
Pokój syna;2001; Dramat ;20;11767402;-;99;[2.0, 1.0, 3.0, 4.0, 10.0, 19.0, 29.0, 21.0, 7.0, 4.0];6062
Wcielenie;2021; Horror ;0;33974014;40000000;111;[2.0, 3.0, 7.0, 9.0, 16.0, 26.0, 24.0, 10.0, 2.0, 1.0];15540
Purpurowe rzeki II: Aniołowie Apokalipsy;2004; Kryminał ;0;40152148;-;100;[0.5, 0.7, 2.0, 4.0, 11.0, 22.0, 34.0, 18.0, 4.0, 3.0];19848
Święta Last Minute;2004; Komedia ;0;96572480;60000000;98;[0.6, 1.0, 4.0, 7.0, 18.0, 32.0, 24.0, 9.0, 2.0, 2.0];24686
Kocia zupa;2001; Surrealistyczny ;0;-;-;34;[1.0, 0.9, 2.0, 2.0, 5.0, 11.0, 23.0, 29.0, 15.0, 10.0];7920
A Moment to Remember;2004; Melodramat ;0;-;-;117;[1.0, 0.5, 1.0, 1.0, 3.0, 6.0, 18.0, 30.0, 22.0, 17.0];8354
Kubuś i przyjaciele;2011; Animacja ;12;33152846;30000000;63;[0.8, 0.4, 1.0, 2.0, 5.0, 14.0, 33.0, 28.0, 9.0, 7.0];18797
Wyspa Nim;2008; Familijny ;0;100076342;37000000;96;[0.9, 0.8, 3.0, 7.0, 17.0, 30.0, 25.0, 10.0, 3.0, 3.0];22656
Jeśli tylko;2004; Dramat ;0;5272209;-;92;[0.8, 0.8, 2.0, 3.0, 7.0, 14.0, 24.0, 25.0, 12.0, 10.0];7538
Koniec z Hollywood;2002; Komedia ;0;14569744;16000000;114;[0.6, 0.3, 1.0, 2.0, 6.0, 17.0, 36.0, 27.0, 7.0, 3.0];14257
Powrót;2015; Dramat ;11;-;-;96;[0.5, 0.3, 2.0, 3.0, 9.0, 23.0, 34.0, 22.0, 5.0, 1.0];5261
Kochaj;2016; Komedia rom. ;0;-;-;85;[23.0, 17.0, 22.0, 14.0, 10.0, 6.0, 3.0, 2.0, 0.5, 2.0];17995
20 dni w Mariupolu;2023; Dokumentalny ;23;-;-;94;[3.0, 1.0, 1.0, 2.0, 3.0, 5.0, 13.0, 34.0, 23.0, 13.0];7730
Złote dziecko;1986; Komedia ;0;149417937;25000000;94;[1.0, 2.0, 4.0, 7.0, 15.0, 28.0, 25.0, 11.0, 3.0, 3.0];23765
Nico - ponad prawem;1988; Sensacyjny ;0;18869631;7500000;99;[1.0, 0.9, 2.0, 3.0, 8.0, 19.0, 32.0, 21.0, 6.0, 6.0];24878
Kibolski świat;2013; Dramat ;0;-;-;100;[0.5, 0.4, 1.0, 2.0, 5.0, 12.0, 28.0, 31.0, 13.0, 6.0];12405
Gdy rodzi się zło;2023; Horror ;0;1981758;-;99;[1.0, 2.0, 4.0, 5.0, 11.0, 22.0, 31.0, 19.0, 4.0, 1.0];9013
Krzyk VI;2023; Horror ;9;168961389;35000000;123;[1.0, 2.0, 5.0, 8.0, 17.0, 29.0, 25.0, 9.0, 2.0, 2.0];20691
Kieł;2014; Horror ;0;1826705;3500000;102;[11.0, 9.0, 14.0, 13.0, 16.0, 17.0, 12.0, 5.0, 1.0, 2.0];9360
Legenda;1985; Baśń ;0;16837628;30000000;94;[0.5, 0.8, 3.0, 5.0, 10.0, 22.0, 31.0, 18.0, 6.0, 4.0];12823
Dureń;2014; Dramat ;0;-;-;116;[0.2, 0.1, 0.5, 0.8, 3.0, 9.0, 26.0, 42.0, 14.0, 4.0];8477
Kobieta z wydm;1964; Dramat ;0;-;-;147;[1.0, 0.3, 0.6, 1.0, 2.0, 5.0, 17.0, 36.0, 25.0, 11.0];4597
American Ultra;2015; Komedia ;0;27262374;28000000;96;[1.0, 2.0, 7.0, 12.0, 24.0, 28.0, 17.0, 6.0, 2.0, 1.0];13428
Doczekać zmroku;1967; Thriller ;0;11000000;4000000;107;[0.2, 0.2, 0.6, 1.0, 3.0, 10.0, 27.0, 37.0, 14.0, 6.0];7291
Najście;2007; Horror ;0;-;-;86;[5.0, 5.0, 8.0, 10.0, 14.0, 19.0, 20.0, 12.0, 5.0, 2.0];8636
Angelus;2001; Surrealistyczny ;9;-;-;106;[1.0, 0.7, 2.0, 3.0, 5.0, 10.0, 22.0, 31.0, 15.0, 9.0];7538
Jak ukraść milion dolarów;1966; Romans ;0;-;-;123;[0.2, 0.1, 0.3, 0.8, 3.0, 10.0, 28.0, 38.0, 14.0, 7.0];8577
Rachel wychodzi za mąż;2008; Obyczajowy ;25;16623013;-;114;[0.8, 0.9, 4.0, 7.0, 16.0, 25.0, 27.0, 14.0, 3.0, 3.0];10545
Kiedy dzwoni nieznajomy;2006; Thriller ;0;66966987;15000000;87;[1.0, 2.0, 5.0, 9.0, 16.0, 25.0, 24.0, 11.0, 3.0, 4.0];19963
Boże skrawki;2001; Dramat ;0;-;-;94;[1.0, 0.4, 1.0, 2.0, 5.0, 11.0, 28.0, 34.0, 11.0, 7.0];8646
Rudobrody;1965; Dramat ;0;-;-;185;[2.0, 0.3, 0.7, 1.0, 3.0, 6.0, 18.0, 33.0, 23.0, 14.0];5700
Pionek;2014; Biograficzny ;0;5578519;19000000;114;[0.2, 0.1, 0.6, 2.0, 7.0, 23.0, 43.0, 20.0, 4.0, 1.0];9334
Zakręcony;2000; Fantasy ;0;90383208;48000000;93;[0.6, 1.0, 3.0, 6.0, 14.0, 28.0, 29.0, 12.0, 3.0, 3.0];21285
Gra pozorów;1992; Melodramat ;33;62548947;-;112;[0.5, 0.5, 2.0, 2.0, 6.0, 14.0, 26.0, 28.0, 12.0, 8.0];6744
Szwedzka teoria miłości;2015; Dokumentalny ;0;-;-;76;[0.6, 0.6, 2.0, 4.0, 10.0, 21.0, 31.0, 24.0, 7.0, 2.0];5595
Hokus pokus;1993; Familijny ;5;47018485;28000000;96;[0.3, 0.3, 1.0, 3.0, 9.0, 23.0, 34.0, 19.0, 6.0, 5.0];16930
Dinozaur;2000; Animacja ;11;349822765;127500000;82;[0.4, 0.3, 0.9, 2.0, 6.0, 17.0, 32.0, 26.0, 9.0, 5.0];21297
Cisza;2019; Horror ;0;-;-;90;[2.0, 5.0, 15.0, 19.0, 25.0, 20.0, 9.0, 3.0, 0.7, 0.7];22528
Emilia Pérez;2024; Dramat ;67;9782742;-;130;[1.0, 0.7, 3.0, 3.0, 6.0, 11.0, 25.0, 32.0, 14.0, 4.0];4195
Zły dotyk;2004; Dramat ;0;4678405;-;87;[0.3, 0.2, 0.8, 2.0, 7.0, 18.0, 39.0, 25.0, 6.0, 2.0];8716
Prodigy. Opętany;2019; Horror ;0;21150265;6000000;92;[0.6, 1.0, 5.0, 9.0, 19.0, 32.0, 23.0, 8.0, 2.0, 1.0];14144
Jak spędziłem koniec lata;2010; Dramat ;10;-;-;124;[0.7, 0.8, 3.0, 4.0, 9.0, 19.0, 32.0, 23.0, 7.0, 2.0];5738
Obiecaj mi!;2007; Komedia obycz. ;0;-;-;127;[2.0, 1.0, 2.0, 3.0, 6.0, 12.0, 27.0, 28.0, 13.0, 6.0];11287
Nazywał się Bagger Vance;2000; Dramat ;0;39459427;80000000;126;[0.3, 0.2, 0.7, 2.0, 5.0, 15.0, 35.0, 29.0, 8.0, 4.0];10463
Koktajl;1988; Komedia ;6;171504781;-;104;[0.3, 0.5, 2.0, 4.0, 11.0, 27.0, 35.0, 15.0, 4.0, 3.0];18967
Cyrulik syberyjski;1998; Melodramat ;0;-;-;180;[1.0, 0.3, 0.9, 2.0, 4.0, 10.0, 21.0, 35.0, 16.0, 10.0];8628
Zbliżenia;2014; Dramat ;0;-;-;76;[0.8, 2.0, 5.0, 8.0, 18.0, 28.0, 24.0, 11.0, 2.0, 1.0];9109
Ma;2019; Horror ;0;60582764;5000000;99;[2.0, 4.0, 11.0, 16.0, 25.0, 24.0, 12.0, 3.0, 0.7, 2.0];18029
Zgoda;2017; Dramat ;0;-;-;87;[2.0, 2.0, 8.0, 11.0, 24.0, 23.0, 13.0, 6.0, 3.0, 8.0];6380
Scooby-Doo 2: Potwory na gigancie;2004; Przygodowy ;1;181466833;-;93;[2.0, 2.0, 6.0, 9.0, 18.0, 26.0, 20.0, 9.0, 3.0, 5.0];26008
Czerwona planeta;2000; Sci-Fi ;0;33463969;80000000;106;[0.5, 1.0, 3.0, 7.0, 16.0, 31.0, 28.0, 10.0, 2.0, 2.0];21725
Kocham kino;2007; Dramat ;0;-;-;119;[1.0, 0.3, 0.9, 2.0, 8.0, 18.0, 36.0, 22.0, 7.0, 4.0];3423
Kiedy się pojawiłaś;2018; Dramat ;0;-;-;97;[0.2, 0.4, 1.0, 3.0, 9.0, 24.0, 35.0, 19.0, 5.0, 3.0];9863
Niewinne kłamstewka;2010; Dramat ;0;48531470;25000000;154;[0.3, 0.5, 2.0, 2.0, 5.0, 14.0, 31.0, 32.0, 11.0, 4.0];4961
Deja vu;1989; Komedia kryminalna ;0;-;-;110;[0.6, 0.3, 1.0, 3.0, 7.0, 16.0, 32.0, 26.0, 9.0, 6.0];14586
Portret damy;1996; Dramat ;0;17692836;-;142;[0.4, 0.5, 2.0, 3.0, 10.0, 20.0, 32.0, 21.0, 6.0, 4.0];7415
Wojna;2015; Dramat ;0;1114663;-;115;[0.5, 0.2, 1.0, 3.0, 10.0, 25.0, 39.0, 18.0, 3.0, 1.0];5451
Uciekający pociąg;1985; Thriller ;9;7683620;9000000;111;[0.8, 0.7, 2.0, 3.0, 7.0, 17.0, 33.0, 24.0, 8.0, 5.0];14654
Hamlet;1990; Dramat ;6;20710451;-;130;[0.3, 0.3, 0.8, 2.0, 5.0, 13.0, 32.0, 32.0, 9.0, 5.0];11199
Narzeczona dla kota;2002; Familijny ;0;-;-;75;[0.3, 0.1, 0.7, 2.0, 7.0, 19.0, 35.0, 25.0, 7.0, 4.0];16939
Komunia;2016; Dokumentalny ;17;-;-;73;[0.3, 0.2, 0.6, 0.9, 2.0, 7.0, 27.0, 43.0, 16.0, 4.0];6456
Północ w ogrodzie dobra i zła;1997; Dramat ;0;25105255;35000000;155;[0.5, 0.3, 1.0, 3.0, 9.0, 21.0, 35.0, 21.0, 5.0, 3.0];8521
Legenda Herkulesa;2014; Fantasy ;0;61279452;70000000;99;[3.0, 6.0, 15.0, 17.0, 22.0, 17.0, 11.0, 5.0, 2.0, 1.0];3773
Spun;2002; Dramat ;0;-;-;101;[0.6, 0.7, 2.0, 3.0, 8.0, 17.0, 31.0, 24.0, 9.0, 4.0];7649
Madame;2017; Dramat ;0;5381950;-;91;[0.3, 0.4, 2.0, 4.0, 15.0, 34.0, 31.0, 10.0, 2.0, 1.0];11549
Trudne słówka;2004; Dramat ;0;55041367;80000000;131;[0.4, 0.5, 2.0, 4.0, 11.0, 25.0, 35.0, 17.0, 4.0, 2.0];17970
Anioł Śmierci;2013; Dramat historyczny ;0;3018392;2000000;90;[0.3, 0.3, 2.0, 4.0, 14.0, 31.0, 33.0, 12.0, 2.0, 1.0];7986
Cztery noce z Anną;2008; Dramat ;17;-;-;90;[1.0, 1.0, 3.0, 4.0, 10.0, 18.0, 28.0, 24.0, 8.0, 3.0];10541
Mała syrenka;2023; Familijny ;0;569626289;250000000;135;[13.0, 3.0, 7.0, 10.0, 20.0, 23.0, 14.0, 6.0, 2.0, 2.0];19130
Mężowie i żony;1992; Dramat ;13;10555619;20000000;108;[0.7, 0.2, 0.6, 1.0, 4.0, 13.0, 34.0, 33.0, 9.0, 4.0];8929
Głęboka woda;2022; Thriller ;0;-;-;115;[1.0, 3.0, 12.0, 16.0, 26.0, 24.0, 12.0, 4.0, 0.8, 1.0];13775
Ukryte życie;2019; Biograficzny ;0;4607564;-;173;[0.7, 0.5, 2.0, 3.0, 8.0, 17.0, 29.0, 23.0, 11.0, 5.0];4210
Przynęta;2019; Thriller ;0;14454622;25000000;106;[1.0, 2.0, 7.0, 9.0, 23.0, 28.0, 20.0, 7.0, 2.0, 1.0];9946
Piotruś i Wilk;2006; Animacja ;2;-;-;32;[1.0, 0.3, 1.0, 2.0, 4.0, 11.0, 26.0, 34.0, 14.0, 6.0];13703
Niesamowici bracia Bloom;2008; Dramat ;0;5530764;20000000;109;[0.5, 0.6, 2.0, 4.0, 11.0, 24.0, 32.0, 17.0, 5.0, 3.0];8140
Zatoichi;2003; Dramat ;0;32285593;-;116;[0.6, 0.3, 1.0, 2.0, 5.0, 12.0, 28.0, 33.0, 12.0, 6.0];14944
Kto sieje wiatr;1960; Dramat sądowy ;14;-;-;128;[0.4, 0.1, 0.6, 0.7, 2.0, 5.0, 18.0, 37.0, 26.0, 10.0];5950
Zegar czarnoksiężnika;2018; Fantasy ;0;131457147;42000000;104;[0.7, 1.0, 4.0, 8.0, 22.0, 31.0, 22.0, 7.0, 2.0, 2.0];8270
Bez końca;1984; Dramat ;0;-;-;103;[0.7, 0.2, 0.9, 1.0, 4.0, 12.0, 30.0, 34.0, 12.0, 4.0];7173
Sztuka ścigania się w deszczu;2019; Dramat ;0;33766787;-;109;[0.3, 0.3, 1.0, 2.0, 4.0, 12.0, 26.0, 32.0, 14.0, 7.0];6274
Piękna;2008; Dramat ;0;-;-;90;[0.7, 0.9, 3.0, 6.0, 14.0, 24.0, 29.0, 16.0, 5.0, 2.0];6150
Śmiertelnie proste;1984; Dramat ;8;4218701;1500000;99;[0.6, 0.2, 1.0, 2.0, 6.0, 16.0, 35.0, 28.0, 8.0, 3.0];8287
Mieszkańcy Ziemi;2005; Dokumentalny ;0;-;-;95;[0.9, 0.3, 0.7, 1.0, 3.0, 4.0, 13.0, 32.0, 24.0, 21.0];4749
W ukryciu;2013; Thriller ;0;-;-;103;[2.0, 2.0, 8.0, 11.0, 23.0, 25.0, 18.0, 8.0, 2.0, 1.0];7184
Druga szansa;2007; Dramat ;0;8547733;16000000;119;[0.4, 0.2, 1.0, 2.0, 6.0, 15.0, 35.0, 29.0, 9.0, 4.0];10006
Krwawa profesja;2002; Kryminał ;0;31794718;50000000;110;[0.2, 0.1, 0.7, 2.0, 7.0, 23.0, 44.0, 19.0, 3.0, 2.0];14945
Nadzwyczajni;2019; Dramat ;0;-;-;114;[0.3, 0.1, 0.7, 1.0, 4.0, 14.0, 34.0, 32.0, 10.0, 4.0];6141
Wysoka dziewczyna;2019; Dramat ;0;1591621;-;130;[0.5, 0.5, 2.0, 2.0, 6.0, 14.0, 31.0, 31.0, 10.0, 3.0];6035
Mściciel;1973; Western ;0;15700000;-;105;[0.3, 0.2, 0.5, 1.0, 4.0, 12.0, 30.0, 35.0, 11.0, 6.0];14222
I stanie się koniec;1999; Horror ;0;211989043;100000000;121;[0.7, 1.0, 4.0, 7.0, 16.0, 28.0, 27.0, 11.0, 2.0, 2.0];19646
Do wszystkich chłopców: P.S. Wciąż cię kocham;2020; Romans ;0;-;-;101;[0.8, 2.0, 6.0, 11.0, 25.0, 28.0, 17.0, 7.0, 2.0, 2.0];25623
Excalibur;1981; Fantasy ;11;34967437;-;140;[2.0, 2.0, 3.0, 5.0, 9.0, 18.0, 24.0, 19.0, 9.0, 8.0];8888
7 krasnoludków - Historia prawdziwa;2004; Familijny ;0;-;-;95;[4.0, 4.0, 8.0, 10.0, 17.0, 21.0, 18.0, 10.0, 4.0, 4.0];24938
Małolaty u taty;2003; Familijny ;0;164433867;60000000;92;[0.5, 0.6, 2.0, 5.0, 14.0, 31.0, 29.0, 12.0, 3.0, 3.0];25017
Wybacz, ale będę ci mówiła skarbie;2008; Komedia rom. ;0;23249815;-;103;[1.0, 1.0, 3.0, 5.0, 11.0, 20.0, 28.0, 19.0, 7.0, 6.0];5019
Spisek;2010; Kryminał ;0;15478800;25000000;122;[0.3, 0.3, 0.9, 2.0, 7.0, 22.0, 41.0, 21.0, 4.0, 2.0];7353
Skłóceni z życiem;1961; Dramat ;0;-;-;124;[0.4, 0.3, 1.0, 2.0, 5.0, 11.0, 27.0, 32.0, 12.0, 9.0];6599
Janosik;1974; Kostiumowy ;0;-;-;128;[0.7, 0.3, 1.0, 2.0, 6.0, 14.0, 33.0, 28.0, 9.0, 6.0];24887
Źródło;1960; Dramat ;7;-;-;89;[2.0, 0.3, 0.6, 1.0, 3.0, 8.0, 25.0, 36.0, 16.0, 8.0];6119
Wakacje Waltera;2003; Familijny ;0;47902566;30000000;111;[0.3, 0.2, 0.4, 1.0, 3.0, 11.0, 29.0, 35.0, 13.0, 5.0];12277
Bloodshot;2020; Akcja ;0;33542457;45000000;109;[0.6, 2.0, 6.0, 12.0, 25.0, 30.0, 16.0, 5.0, 1.0, 1.0];18993
Mistrz kierownicy ucieka;1977; Komedia ;0;126737428;-;96;[0.2, 0.3, 0.8, 2.0, 6.0, 17.0, 37.0, 25.0, 7.0, 5.0];20232
Rumble Fish;1983; Dramat ;0;2494480;10000000;94;[0.9, 0.4, 1.0, 2.0, 6.0, 12.0, 26.0, 28.0, 12.0, 10.0];7248
Werdykt;1982; Dramat sądowy ;18;53977250;16000000;129;[0.2, 0.1, 0.4, 0.7, 3.0, 11.0, 33.0, 37.0, 10.0, 4.0];6592
Pewnego razu w Anatolii;2011; Kryminał ;0;1175849;-;157;[1.0, 1.0, 3.0, 3.0, 9.0, 17.0, 28.0, 25.0, 9.0, 4.0];4977
Kumple od kufla;2013; Dramat ;0;-;-;90;[1.0, 2.0, 9.0, 12.0, 23.0, 26.0, 19.0, 6.0, 1.0, 0.5];11672
Zdobyć Woodstock;2009; Dramat ;0;9975737;30000000;120;[0.6, 0.5, 2.0, 4.0, 11.0, 24.0, 34.0, 17.0, 4.0, 3.0];8936
Filadelfijska opowieść;1940; Komedia rom. ;14;-;-;112;[0.5, 0.2, 0.6, 1.0, 4.0, 9.0, 26.0, 33.0, 17.0, 9.0];6676
Człowiek znikąd;2010; Dramat ;0;43059790;-;119;[0.5, 0.2, 0.6, 1.0, 4.0, 10.0, 26.0, 35.0, 16.0, 7.0];9799
Agentka specjalnej troski;2016; Komedia ;0;-;-;105;[0.6, 0.8, 3.0, 6.0, 17.0, 31.0, 26.0, 10.0, 3.0, 3.0];13132
Czarny deszcz;1989; Kryminał ;0;134212055;30000000;125;[0.2, 0.2, 0.9, 2.0, 7.0, 20.0, 39.0, 23.0, 5.0, 3.0];12555
Sztuka latania;1998; Melodramat ;0;-;-;101;[0.2, 0.2, 0.7, 1.0, 3.0, 10.0, 25.0, 36.0, 16.0, 8.0];5293
Chopin. Pragnienie miłości;2002; Biograficzny ;7;-;-;123;[2.0, 3.0, 8.0, 12.0, 23.0, 25.0, 17.0, 7.0, 2.0, 2.0];19278
Pracownik miesiąca;2006; Komedia ;0;38529870;12000000;103;[1.0, 2.0, 4.0, 8.0, 18.0, 29.0, 23.0, 9.0, 3.0, 3.0];22252
Beksińscy. Album wideofoniczny;2017; Dokumentalny ;0;-;-;80;[0.2, 0.2, 0.3, 0.4, 2.0, 6.0, 27.0, 45.0, 15.0, 5.0];6051
Babskie wakacje;2017; Komedia ;0;60845711;42000000;90;[2.0, 4.0, 11.0, 15.0, 25.0, 23.0, 13.0, 5.0, 1.0, 1.0];13659
Tragedia na przełęczy Diatłowa;2013; Horror ;0;-;-;100;[1.0, 3.0, 8.0, 12.0, 20.0, 27.0, 19.0, 7.0, 2.0, 1.0];15821
"Lawa. Opowieść o ""Dziadach"" Adama Mickiewicza";1989; Dramat ;0;-;-;129;[1.0, 1.0, 2.0, 4.0, 7.0, 13.0, 26.0, 26.0, 13.0, 6.0];11605
Gilda;1946; Film-Noir ;0;-;-;110;[0.2, 0.2, 0.5, 1.0, 3.0, 9.0, 28.0, 34.0, 15.0, 8.0];7769
Za wszelką cenę;1995; Czarna komedia ;7;21284514;20000000;102;[0.5, 0.5, 2.0, 4.0, 12.0, 28.0, 31.0, 13.0, 4.0, 4.0];7287
Mrugnij dwa razy;2024; Thriller ;0;46393906;20000000;102;[0.8, 1.0, 4.0, 7.0, 17.0, 31.0, 27.0, 10.0, 2.0, 0.8];8797
Doomsday;2008; Sci-Fi ;0;22211426;30000000;105;[3.0, 4.0, 9.0, 12.0, 20.0, 23.0, 17.0, 7.0, 2.0, 3.0];21308
Kronika świąteczna;2018; Familijny ;0;-;-;104;[0.2, 0.4, 1.0, 3.0, 10.0, 28.0, 35.0, 16.0, 4.0, 3.0];21235
Samuraj;1967; Kryminał ;0;39481;-;105;[0.9, 0.3, 0.6, 1.0, 4.0, 9.0, 24.0, 34.0, 17.0, 9.0];6082
