Title;Year;Genre;Award Amount;Box Office;Budget;Time (mins);Reviews;Number of Reviews
Charlie i fabryka czekolady;2005; Familijny ;33;474968763;150000000;115;[0.7, 0.6, 2.0, 3.0, 7.0, 16.0, 30.0, 24.0, 9.0, 7.0];360139
Harry Potter i Insygnia Śmierci: Część II;2011; Familijny ;56;1342480797;125000000;130;[0.6, 0.3, 0.8, 1.0, 4.0, 9.0, 24.0, 31.0, 16.0, 13.0];361065
Mroczny Rycerz powstaje;2012; Akcja ;42;1081169825;250000000;165;[0.3, 0.2, 0.7, 1.0, 3.0, 9.0, 24.0, 36.0, 18.0, 8.0];315907
Blow;2001; Biograficzny ;0;83282296;53000000;124;[0.3, 0.1, 0.5, 0.9, 3.0, 8.0, 23.0, 37.0, 19.0, 8.0];226353
Piąty element;1997; Akcja ;22;263920180;93000000;126;[0.4, 0.4, 1.0, 2.0, 6.0, 13.0, 27.0, 29.0, 13.0, 9.0];310077
Teoria wszystkiego;2014; Biograficzny ;69;123726688;15000000;123;[0.1, 0.1, 0.5, 1.0, 4.0, 11.0, 29.0, 36.0, 14.0, 5.0];229294
Joe Black;1998; Fantasy ;0;142940100;90000000;181;[0.3, 0.3, 0.9, 2.0, 4.0, 10.0, 24.0, 33.0, 16.0, 9.0];280161
Avengers;2012; Akcja ;45;1520538536;220000000;142;[0.4, 0.4, 1.0, 2.0, 5.0, 12.0, 27.0, 30.0, 14.0, 9.0];336128
Czas Apokalipsy;1979; Dramat ;38;104729466;31500000;147;[0.5, 0.3, 0.9, 1.0, 3.0, 6.0, 15.0, 28.0, 25.0, 20.0];189554
Memento;2000; Kryminał ;41;40047078;9000000;113;[0.6, 0.4, 1.0, 2.0, 4.0, 9.0, 24.0, 34.0, 17.0, 8.0];198403
Hobbit: Pustkowie Smauga;2013; Fantasy ;35;959027992;-;161;[0.4, 0.3, 0.9, 2.0, 4.0, 10.0, 26.0, 33.0, 15.0, 9.0];325504
Powrót do przyszłości;1985; Przygodowy ;34;384577472;19000000;116;[0.8, 0.7, 2.0, 3.0, 5.0, 11.0, 24.0, 27.0, 14.0, 12.0];349880
Marsjanin;2015; Sci-Fi ;94;630620818;108000000;141;[0.2, 0.2, 0.5, 0.9, 3.0, 10.0, 29.0, 38.0, 14.0, 4.0];297368
Symetria;2003; Dramat ;0;-;-;99;[0.4, 0.3, 0.7, 1.0, 3.0, 8.0, 23.0, 37.0, 18.0, 9.0];252494
American Pie;1999; Komedia ;0;235483004;11000000;95;[4.0, 3.0, 5.0, 6.0, 10.0, 16.0, 23.0, 18.0, 8.0, 8.0];368712
Sin City - Miasto grzechu;2005; Kryminał ;36;158753820;40000000;124;[1.0, 0.9, 2.0, 3.0, 5.0, 10.0, 22.0, 30.0, 17.0, 10.0];269809
Pokój;2015; Dramat ;78;35401758;13000000;118;[0.1, 0.1, 0.3, 0.6, 2.0, 7.0, 23.0, 41.0, 21.0, 6.0];193180
Troja;2004; Dramat historyczny ;13;497409852;175000000;163;[0.4, 0.5, 1.0, 2.0, 6.0, 13.0, 27.0, 29.0, 12.0, 9.0];345980
Nienawistna ósemka;2015; Western ;47;156480177;44000000;168;[0.3, 0.2, 0.8, 1.0, 4.0, 9.0, 24.0, 37.0, 19.0, 6.0];229384
Wielki Gatsby;2013; Melodramat ;46;351040419;105000000;142;[0.2, 0.3, 1.0, 2.0, 7.0, 14.0, 29.0, 29.0, 12.0, 5.0];250698
Babel;2006; Dramat ;84;135330182;25000000;142;[0.5, 0.5, 1.0, 2.0, 5.0, 12.0, 27.0, 31.0, 13.0, 8.0];173243
Snajper;2014; Biograficzny ;32;547459020;58800000;134;[0.1, 0.2, 0.6, 1.0, 4.0, 10.0, 28.0, 36.0, 15.0, 6.0];252801
Lektor;2008; Melodramat ;35;108902486;32000000;124;[0.3, 0.2, 0.5, 0.9, 2.0, 7.0, 23.0, 39.0, 19.0, 7.0];208414
Green Book;2018; Dramat ;69;321752656;23000000;130;[0.2, 0.1, 0.2, 0.4, 1.0, 4.0, 16.0, 39.0, 30.0, 9.0];236359
Labirynt fauna;2006; Dramat ;68;83258226;19000000;112;[1.0, 0.8, 2.0, 3.0, 6.0, 11.0, 24.0, 29.0, 15.0, 8.0];241393
Sala samobójców;2011; Thriller ;37;7226940;-;117;[3.0, 2.0, 6.0, 7.0, 13.0, 18.0, 23.0, 18.0, 7.0, 4.0];317687
Gwiezdne wojny: Część IV - Nowa nadzieja;1977; Przygodowy ;57;775398007;11000000;121;[1.0, 0.4, 0.8, 1.0, 3.0, 7.0, 20.0, 32.0, 18.0, 17.0];336910
Wściekłe psy;1992; Thriller ;7;2913644;1200000;99;[0.4, 0.2, 0.6, 1.0, 2.0, 6.0, 19.0, 35.0, 23.0, 11.0];224691
Czerwony smok;2002; Thriller ;0;209196298;78000000;124;[0.3, 0.3, 0.8, 2.0, 4.0, 10.0, 26.0, 35.0, 14.0, 8.0];257055
Sherlock Holmes: Gra cieni;2011; Kryminał ;0;543848418;125000000;129;[0.2, 0.2, 0.7, 1.0, 4.0, 10.0, 27.0, 35.0, 15.0, 7.0];278341
Sweeney Todd: Demoniczny golibroda z Fleet Street;2007; Musical ;34;153383627;50000000;116;[0.8, 0.6, 2.0, 2.0, 5.0, 11.0, 22.0, 29.0, 16.0, 11.0];213402
Miasto Boga;2002; Dramat ;27;30680793;3300000;130;[0.5, 0.2, 0.6, 1.0, 2.0, 5.0, 17.0, 37.0, 25.0, 11.0];172993
