_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
458,6012,DW 7WU12,K01,,51.1471138000488,17.023157119751,2024-12-09 10:09:34.603000
459,6013,DW 7WU13,K02,K,51.1080474853516,17.02978515625,2024-12-09 17:08:08.957000
460,7004,DW3987J,,,54.5531539916992,17.7985401153564,2022-10-03 15:53:05.910000
461,7011,DW3980J,None,None,51.1492919921875,17.0231399536133,2023-08-04 10:59:51.750000
462,7035,DW8037U,,,51.1475944519043,17.023286819458,2024-11-28 12:12:47.817000
463,7300,DW364GT,14312,,51.08837890625,17.0342674255371,2024-12-09 17:08:11.793000
464,7301,DW293GR,,,51.1484718322754,17.0230255126953,2024-12-09 17:08:11.677000
465,7302,DW270FU,12101,,51.1116218566895,17.0600681304932,2024-12-08 12:57:40.547000
466,7303,DW705FU,14204,142,51.1340484619141,17.0171546936035,2024-12-08 12:59:02.593000
467,7304,DW704FU,10502,,51.100456237793,17.0871067047119,2024-12-09 17:08:11.850000
468,7305,DW604FU,14302,,51.114070892334,17.1036071777344,2024-12-08 12:58:56.540000
469,7306,DW266FU,12709,127,51.1025352478027,17.0128784179688,2024-12-09 17:08:16.853000
470,7307,DW510GT,14319,143,51.0820541381836,17.0619373321533,2024-12-09 17:08:14.587000
471,7308,DW265FU,,,51.1493377685547,17.0234050750732,2024-12-08 12:58:31.590000
472,7309,DW703FU,11604,116,51.1400184631348,17.0698719024658,2024-12-09 17:08:11.520000
473,7310,DW264FU,12203,,51.1041259765625,17.0228023529053,2024-12-09 17:08:04.007000
589,8315,DW875GS,,,51.1469993591309,17.0238609313965,2024-12-08 12:58:56.573000
474,7311,DW046GT,10103,101,51.1446418762207,16.8712100982666,2024-12-09 17:08:08.667000
475,7312,DW291GR,12705,127,51.1450157165527,16.9490280151367,2024-12-09 17:08:08.547000
476,7313,DW508GT,12102,121,51.1456718444824,17.1167125701904,2024-12-08 12:58:18.537000
477,7314,DW391GT,10106,101,51.1402626037598,16.958854675293,2024-12-09 17:08:16.770000
478,7315,DW047GT,None,None,51.1485252380371,17.0210380554199,2024-12-08 12:52:54.603000
479,7316,DW049GT,11103,111,51.130298614502,17.0370407104492,2024-12-09 17:08:16.743000
480,7317,DW390GT,14215,142,51.1113624572754,17.0245094299316,2024-12-09 17:08:05.543000
481,7318,DW509GT,,,51.1491928100586,17.0232391357422,2024-12-08 12:59:02.677000
482,7319,DW289GR,1,,51.1492729187012,17.0230941772461,2024-12-03 17:26:52.667000
483,7320,DW389GT,,,51.1463737487793,17.022632598877,2024-12-09 17:07:28.517000
484,7321,DW575GS,31907,319,51.150333404541,17.0435409545898,2024-12-09 17:08:16.603000
485,7322,DW852GS,14308,143,51.0789337158203,16.9903125762939,2024-12-09 17:08:00.540000
486,7323,DW854GS,12615,126,51.1015243530273,17.0136108398438,2024-12-09 17:08:08.833000
487,7324,DW568GS,13411,,51.1491546630859,17.0228862762451,2024-12-08 12:58:18.573000
488,7325,DW571GS,14209,142,51.1281661987305,17.0276641845703,2024-12-09 17:08:14.620000
